age,sex,race_ethnicity,marital_status,education_level,income_level,occupation,place_of_residence,nationality,religion,language_spoken,household_size,credit_score,has_outstanding_loans,num_loans_taken_last_5yrs,loan_repayment_history_score,monthly_expenses,existing_monthly_liabilities,bank_account_access,internet_access,distance_to_nearest_bank_km,mobile_money_usage,success_score
46,Female,Black,Single,Postgraduate,10000,Engineer,Rural,Nepali,Muslim,Marathi,2,454,1,1,0.37,21034,9378,1,1,19.5,0,0.562
39,Other,Latino,Married,Primary,70000,Engineer,Urban,Nepali,Muslim,Marathi,6,594,1,1,0.92,8297,2637,1,0,10.5,1,0.749
27,Female,Asian,Divorced,Primary,20000,Farmer,Semi-urban,Indian,Sikh,Telugu,6,428,0,3,0.05,12629,16886,1,1,23.2,0,0.451
23,Female,Latino,Single,Secondary,10000,Engineer,Rural,Indian,Buddhist,Bengali,5,619,0,2,0.02,3988,19709,0,0,17.3,1,0.321
19,Male,Latino,Married,Secondary,70000,Engineer,Semi-urban,Bangladeshi,Other,Bengali,1,537,1,1,0.25,21445,11635,1,0,1.3,1,0.508
61,Female,Asian,Married,Primary,30000,Self-employed,Semi-urban,Indian,Hindu,Hindi,6,752,0,3,0.4,9050,9616,0,1,2.1,1,0.787
20,Female,White,Single,Secondary,100000,Laborer,Urban,Nepali,Other,English,7,586,1,0,0.82,13376,4421,0,1,0.7,1,0.67
33,Other,Latino,Widowed,Primary,50000,Engineer,Semi-urban,Nepali,Muslim,Bengali,6,646,0,5,0.65,18460,2061,0,1,2.7,1,0.687
59,Female,Latino,Divorced,Graduate,100000,Teacher,Semi-urban,Indian,Buddhist,English,1,444,0,1,0.41,8001,10784,0,1,21.0,0,0.596
33,Male,Black,Single,Postgraduate,30000,Farmer,Rural,Bangladeshi,Christian,Marathi,4,702,1,4,0.99,7772,5634,1,1,17.7,0,0.95
51,Female,Mixed,Widowed,None,30000,Self-employed,Semi-urban,Indian,Hindu,Telugu,2,522,1,2,0.63,20615,9379,0,0,15.9,0,0.313
38,Male,Asian,Divorced,Secondary,70000,Engineer,Urban,Nepali,Christian,Telugu,6,662,0,2,0.26,7329,3820,0,1,24.6,1,0.7
46,Other,White,Divorced,Postgraduate,10000,Teacher,Urban,Indian,Hindu,Marathi,7,553,1,3,0.11,15600,6994,0,0,11.7,1,0.399
42,Female,Black,Divorced,Postgraduate,30000,Self-employed,Semi-urban,Bangladeshi,Sikh,Bengali,3,729,0,1,0.64,22358,6603,0,0,19.8,1,0.604
29,Female,Black,Divorced,Postgraduate,100000,Engineer,Rural,Indian,Muslim,Tamil,7,665,0,3,0.54,24045,19508,1,0,2.4,1,0.455
52,Female,Latino,Widowed,None,10000,Teacher,Semi-urban,Bangladeshi,Muslim,Marathi,1,482,0,2,0.38,16239,4574,0,0,1.1,0,0.278
55,Male,Asian,Single,Postgraduate,50000,Engineer,Rural,Indian,Muslim,Tamil,4,462,0,0,0.8,22370,6076,0,0,3.9,1,0.425
64,Other,Latino,Widowed,Primary,100000,Laborer,Semi-urban,Indian,Hindu,Bengali,6,772,1,4,0.8,14684,8052,0,0,2.1,1,0.643
61,Female,Mixed,Single,Graduate,50000,Farmer,Rural,Bangladeshi,Hindu,Tamil,5,321,1,0,0.73,3830,10097,0,0,18.8,0,0.303
27,Other,Black,Single,Postgraduate,50000,Laborer,Semi-urban,Indian,Hindu,Marathi,2,513,1,5,0.75,17626,12374,1,1,23.7,0,0.636
60,Other,Mixed,Single,Secondary,50000,Laborer,Semi-urban,Nepali,Hindu,Marathi,6,822,1,5,0.58,15326,17323,1,1,12.2,1,0.773
44,Male,Latino,Divorced,Primary,70000,Engineer,Urban,Nepali,Buddhist,Telugu,2,674,0,1,0.46,5250,6990,0,1,17.2,0,0.837
65,Other,Black,Divorced,Postgraduate,50000,Self-employed,Semi-urban,Indian,Sikh,Marathi,8,811,0,0,0.24,11195,11367,1,1,5.9,1,0.929
38,Male,White,Divorced,Graduate,20000,Laborer,Urban,Bangladeshi,Buddhist,English,5,661,1,4,0.75,7472,2148,1,1,12.7,1,0.905
52,Male,White,Married,Primary,20000,Teacher,Semi-urban,Bangladeshi,Christian,Tamil,5,703,0,0,0.41,14673,17728,0,0,12.9,1,0.48
19,Other,Mixed,Divorced,Primary,50000,Engineer,Rural,Indian,Buddhist,Telugu,7,535,0,2,0.14,23147,16151,1,0,16.6,0,0.369
27,Female,Black,Widowed,Primary,20000,Farmer,Rural,Indian,Sikh,Bengali,5,837,0,3,0.31,4469,10810,0,0,5.8,1,0.719
49,Other,White,Married,Primary,10000,Self-employed,Rural,Indian,Muslim,Telugu,4,691,1,0,0.06,11911,19060,1,1,3.6,0,0.6
18,Female,Mixed,Widowed,Primary,100000,Self-employed,Urban,Indian,Buddhist,Bengali,2,608,1,3,0.31,20860,2990,0,1,15.3,0,0.516
38,Male,White,Widowed,Primary,70000,Engineer,Urban,Bangladeshi,Muslim,Marathi,7,364,0,3,0.64,19913,17622,0,0,5.7,1,0.107
29,Female,Asian,Married,Graduate,100000,Teacher,Urban,Bangladeshi,Other,Hindi,7,577,0,0,0.85,13374,17806,1,0,12.0,1,0.645
60,Male,Asian,Single,Secondary,10000,Farmer,Urban,Bangladeshi,Christian,Bengali,1,391,1,3,1.0,13581,17806,0,0,21.1,1,0.306
36,Male,White,Divorced,Postgraduate,70000,Laborer,Semi-urban,Nepali,Muslim,Bengali,4,608,0,2,0.97,21715,14663,0,1,13.4,1,0.545
54,Male,Mixed,Widowed,Graduate,50000,Farmer,Semi-urban,Bangladeshi,Christian,Marathi,7,467,1,3,0.84,18378,5820,0,0,11.0,0,0.268
31,Male,Mixed,Married,Secondary,70000,Self-employed,Rural,Bangladeshi,Buddhist,Tamil,5,313,1,2,0.58,14638,16369,1,1,20.9,1,0.485
29,Male,Asian,Single,Primary,30000,Laborer,Semi-urban,Bangladeshi,Buddhist,Telugu,7,327,0,3,0.66,19307,16577,0,1,14.5,0,0.196
56,Female,Latino,Married,Primary,20000,Engineer,Semi-urban,Indian,Christian,Telugu,8,620,1,5,0.95,16602,5165,0,0,23.2,1,0.547
34,Other,Black,Married,Secondary,70000,Laborer,Urban,Indian,Christian,Bengali,5,777,0,4,0.91,4984,3974,1,1,9.0,0,1.0
48,Male,Mixed,Divorced,None,20000,Laborer,Semi-urban,Indian,Hindu,Telugu,7,457,1,0,0.59,24937,13402,1,1,12.3,1,0.49
33,Female,Black,Single,Postgraduate,10000,Self-employed,Rural,Nepali,Sikh,Telugu,7,577,0,2,0.42,5094,2767,0,0,2.8,0,0.581
37,Other,Mixed,Single,Secondary,10000,Teacher,Urban,Nepali,Other,Tamil,8,622,1,0,0.28,11102,12312,0,0,11.7,0,0.37
37,Other,Asian,Divorced,Secondary,70000,Self-employed,Urban,Nepali,Hindu,Tamil,3,367,1,5,0.22,15546,8850,0,1,3.0,0,0.249
50,Male,White,Widowed,Graduate,70000,Laborer,Semi-urban,Nepali,Other,Bengali,7,812,1,5,0.55,22646,5459,0,0,1.7,0,0.57
33,Male,White,Widowed,Postgraduate,20000,Self-employed,Semi-urban,Nepali,Sikh,Bengali,8,383,0,5,0.27,14677,1006,0,0,20.3,1,0.278
26,Female,Latino,Single,Secondary,70000,Laborer,Semi-urban,Indian,Sikh,Tamil,6,693,1,1,0.86,24024,15161,0,1,16.3,1,0.616
27,Female,White,Single,None,30000,Teacher,Rural,Nepali,Other,English,8,613,1,4,0.33,3538,18977,1,1,18.2,0,0.653
58,Other,Asian,Widowed,Graduate,100000,Engineer,Urban,Nepali,Hindu,English,3,779,0,3,0.11,6627,16465,0,0,7.2,0,0.505
35,Male,White,Married,Primary,70000,Teacher,Urban,Indian,Muslim,Bengali,2,357,0,0,0.16,14835,1815,0,1,5.5,0,0.382
60,Female,Mixed,Single,Graduate,20000,Self-employed,Urban,Indian,Other,Tamil,6,789,1,0,0.36,23189,8926,1,1,7.2,0,0.759
25,Male,Latino,Married,Graduate,70000,Teacher,Rural,Bangladeshi,Christian,Tamil,3,441,1,4,0.74,5536,16107,1,1,8.2,0,0.532
20,Other,White,Divorced,Primary,30000,Teacher,Urban,Indian,Sikh,Tamil,2,378,1,2,0.55,14065,4504,1,1,17.6,0,0.563
26,Female,Latino,Divorced,Postgraduate,70000,Self-employed,Rural,Bangladeshi,Muslim,Telugu,1,797,1,0,0.68,10590,14725,0,0,19.6,0,0.727
55,Female,Mixed,Married,Postgraduate,50000,Farmer,Urban,Indian,Muslim,Marathi,6,826,1,3,0.72,8763,7781,0,1,21.5,1,0.883
28,Male,Mixed,Divorced,Postgraduate,10000,Self-employed,Urban,Nepali,Hindu,Bengali,8,694,0,5,0.98,7950,13825,0,0,11.6,0,0.685
58,Male,Mixed,Widowed,None,100000,Farmer,Rural,Indian,Buddhist,Bengali,7,478,0,5,0.13,14244,1866,0,1,2.6,1,0.505
37,Other,Black,Widowed,Graduate,70000,Farmer,Urban,Nepali,Buddhist,Telugu,1,830,0,5,0.96,8948,6997,0,0,13.6,1,0.812
59,Male,Black,Single,Graduate,30000,Self-employed,Urban,Bangladeshi,Muslim,Telugu,1,596,1,0,0.89,13298,13513,0,0,15.9,1,0.598
36,Male,Mixed,Widowed,Postgraduate,100000,Self-employed,Rural,Bangladeshi,Christian,Bengali,4,794,0,0,0.62,8777,12782,0,1,7.7,0,0.803
52,Male,White,Married,Primary,20000,Teacher,Semi-urban,Indian,Other,English,8,716,0,0,0.94,3208,6124,0,1,4.0,1,0.947
43,Male,Mixed,Single,Postgraduate,20000,Self-employed,Semi-urban,Nepali,Sikh,English,2,769,1,0,0.82,8788,2682,0,0,9.4,1,0.788
52,Other,Latino,Single,None,10000,Engineer,Rural,Bangladeshi,Hindu,Telugu,3,344,1,4,0.34,12119,5712,0,0,23.3,1,0.187
55,Male,Black,Married,Postgraduate,10000,Self-employed,Rural,Indian,Buddhist,English,6,354,1,4,0.37,12737,3967,0,1,8.4,0,0.426
58,Other,White,Divorced,Postgraduate,50000,Self-employed,Rural,Bangladeshi,Muslim,Telugu,2,329,1,2,0.43,18464,1119,0,0,17.4,1,0.281
33,Female,Latino,Widowed,Secondary,100000,Self-employed,Rural,Nepali,Other,Bengali,5,568,0,0,0.33,13027,14686,1,0,7.3,1,0.53
34,Male,Mixed,Married,Primary,30000,Engineer,Rural,Nepali,Hindu,Bengali,2,621,1,0,0.31,3886,1696,0,1,11.1,1,0.756
62,Other,Asian,Divorced,Primary,30000,Laborer,Semi-urban,Bangladeshi,Sikh,Hindi,2,744,0,1,0.78,3035,8210,0,0,20.3,0,0.735
42,Male,White,Single,Secondary,10000,Farmer,Urban,Nepali,Buddhist,Telugu,3,693,1,2,0.88,3990,16053,1,0,20.2,1,0.686
26,Male,White,Widowed,None,10000,Teacher,Urban,Nepali,Buddhist,English,8,301,0,5,0.17,8580,12093,0,0,11.5,1,0.033
33,Other,Latino,Widowed,Graduate,70000,Laborer,Semi-urban,Bangladeshi,Muslim,Tamil,8,371,0,1,0.06,10906,17772,1,1,16.5,0,0.453
22,Male,Black,Widowed,Primary,70000,Engineer,Rural,Nepali,Sikh,Tamil,3,785,1,1,0.96,21084,13658,1,1,1.8,1,0.966
22,Female,White,Divorced,Postgraduate,20000,Teacher,Urban,Nepali,Sikh,Marathi,4,329,1,5,0.16,3983,11668,1,1,8.3,1,0.411
65,Other,Mixed,Single,Primary,100000,Farmer,Semi-urban,Nepali,Sikh,Hindi,6,728,1,5,0.42,24526,2396,0,1,6.5,1,0.588
30,Female,Asian,Divorced,None,10000,Laborer,Rural,Bangladeshi,Christian,English,2,838,0,3,0.1,14251,4995,1,1,8.7,0,0.882
43,Other,White,Divorced,Postgraduate,20000,Self-employed,Urban,Indian,Hindu,English,5,545,0,0,0.96,24217,4356,1,1,24.3,1,0.805
44,Male,Asian,Single,Secondary,100000,Teacher,Urban,Indian,Sikh,Telugu,7,395,1,2,0.29,18547,13437,0,0,24.6,0,0.192
38,Other,Black,Single,Primary,20000,Teacher,Urban,Bangladeshi,Muslim,Hindi,2,803,1,3,0.49,11010,5240,1,1,3.3,0,1.0
57,Other,Mixed,Widowed,Primary,10000,Laborer,Rural,Bangladeshi,Buddhist,Telugu,3,520,0,4,0.03,18797,1799,0,0,17.0,0,0.339
21,Other,Black,Married,None,50000,Self-employed,Semi-urban,Bangladeshi,Christian,Hindi,6,838,1,4,0.71,7310,18258,0,1,17.5,1,0.842
23,Male,Mixed,Divorced,Graduate,100000,Engineer,Semi-urban,Bangladeshi,Buddhist,Telugu,8,492,1,5,0.03,14816,14193,0,1,16.3,1,0.35
23,Female,Black,Widowed,Secondary,30000,Laborer,Rural,Bangladeshi,Muslim,Marathi,2,811,1,3,0.81,21653,3017,0,0,0.6,1,0.574
47,Female,Mixed,Widowed,Primary,70000,Laborer,Urban,Nepali,Christian,English,3,476,0,0,0.05,7616,3573,0,0,8.0,0,0.397
55,Male,White,Single,Secondary,20000,Farmer,Urban,Nepali,Muslim,Marathi,8,506,1,5,0.32,18914,16781,1,1,8.6,1,0.467
53,Other,Black,Single,Postgraduate,30000,Engineer,Rural,Indian,Sikh,Bengali,2,581,1,1,0.16,23141,1060,0,1,14.6,1,0.526
51,Other,Black,Divorced,Primary,10000,Farmer,Urban,Bangladeshi,Hindu,Marathi,4,540,1,0,0.89,12889,11149,1,1,21.1,1,0.79
22,Male,Latino,Divorced,Graduate,30000,Teacher,Rural,Bangladeshi,Other,English,1,489,1,4,0.19,15231,9976,1,0,1.5,1,0.305
28,Female,Black,Married,Postgraduate,70000,Laborer,Semi-urban,Nepali,Hindu,Telugu,8,571,0,4,0.16,16652,13406,1,1,0.5,1,0.577
21,Male,Mixed,Divorced,None,30000,Self-employed,Rural,Bangladeshi,Sikh,Marathi,4,588,0,3,0.5,14643,10768,1,0,3.6,0,0.504
48,Male,Mixed,Single,None,70000,Laborer,Urban,Indian,Sikh,English,5,534,1,2,0.57,20590,12962,0,1,5.9,0,0.473
61,Other,Asian,Divorced,Primary,10000,Teacher,Semi-urban,Bangladeshi,Hindu,Hindi,5,433,1,5,0.24,20404,11334,0,1,23.7,0,0.255
64,Female,Asian,Single,Primary,30000,Engineer,Semi-urban,Nepali,Sikh,Bengali,4,847,0,1,0.17,21081,6585,0,1,12.9,1,0.796
24,Other,Latino,Married,Postgraduate,100000,Laborer,Rural,Nepali,Muslim,Bengali,5,521,0,0,0.91,24168,5793,1,0,11.7,1,0.56
41,Other,Black,Divorced,Postgraduate,10000,Teacher,Rural,Bangladeshi,Hindu,Hindi,5,518,1,1,0.19,9645,2804,0,0,4.5,1,0.407
24,Female,Black,Divorced,Primary,70000,Self-employed,Semi-urban,Bangladeshi,Other,English,3,522,0,1,0.26,14167,1445,1,0,2.0,0,0.572
21,Male,White,Divorced,Secondary,50000,Engineer,Urban,Bangladeshi,Hindu,Bengali,2,838,1,3,0.88,10979,14835,1,0,14.1,0,0.78
47,Female,White,Married,Postgraduate,70000,Laborer,Urban,Nepali,Christian,Hindi,5,803,1,1,0.21,21774,13311,0,1,20.3,1,0.566
52,Male,Black,Single,Postgraduate,70000,Laborer,Rural,Indian,Other,Telugu,3,756,1,5,0.24,19625,17311,1,1,2.0,1,0.64
22,Male,Latino,Married,Postgraduate,70000,Self-employed,Rural,Bangladeshi,Sikh,Bengali,7,558,1,3,0.31,16746,8366,0,1,5.0,0,0.465
54,Female,Latino,Single,Primary,30000,Farmer,Rural,Indian,Muslim,Telugu,1,483,0,1,0.75,7374,12100,0,0,4.1,0,0.466
58,Female,White,Single,None,10000,Engineer,Rural,Indian,Muslim,Marathi,7,543,1,5,0.37,19520,7371,0,1,25.0,0,0.36
55,Other,Mixed,Divorced,Secondary,70000,Self-employed,Urban,Bangladeshi,Christian,Hindi,8,429,1,0,0.41,20593,6795,0,0,6.7,1,0.263
39,Other,White,Single,Secondary,30000,Teacher,Urban,Bangladeshi,Muslim,Bengali,5,462,1,2,0.35,7953,9703,0,0,14.1,1,0.329
65,Male,Mixed,Single,None,50000,Engineer,Semi-urban,Nepali,Other,Tamil,4,794,0,0,0.03,16234,6284,0,0,8.4,0,0.532
52,Male,White,Married,Primary,30000,Self-employed,Rural,Indian,Hindu,Hindi,7,608,0,5,0.64,20250,11753,1,0,24.6,1,0.507
63,Female,Asian,Single,Secondary,10000,Teacher,Urban,Bangladeshi,Hindu,Hindi,4,492,1,1,0.92,10747,17073,1,0,1.0,0,0.598
33,Male,White,Single,None,10000,Farmer,Semi-urban,Nepali,Hindu,Telugu,5,359,1,3,1.0,10575,422,0,0,17.6,0,0.398
29,Male,Latino,Widowed,Primary,10000,Laborer,Rural,Indian,Other,Tamil,5,346,1,4,0.88,3215,2369,1,0,17.0,1,0.48
38,Male,Black,Widowed,Postgraduate,10000,Teacher,Urban,Bangladeshi,Other,Bengali,8,799,0,4,0.12,3395,7398,1,1,1.9,0,0.949
65,Male,Mixed,Widowed,Postgraduate,70000,Farmer,Urban,Bangladeshi,Buddhist,Bengali,5,813,0,0,0.75,13294,19113,0,1,8.8,1,0.708
58,Female,Asian,Single,Postgraduate,50000,Farmer,Urban,Indian,Hindu,Bengali,2,495,1,0,0.79,19728,5108,1,1,7.9,1,0.695
34,Other,Black,Single,Postgraduate,10000,Teacher,Urban,Indian,Christian,Telugu,8,807,1,4,0.65,23885,9926,0,1,4.8,1,0.602
27,Other,White,Single,Secondary,70000,Self-employed,Semi-urban,Indian,Sikh,English,6,503,0,2,0.2,4225,2817,1,0,9.9,0,0.617
44,Female,Latino,Married,Secondary,30000,Laborer,Urban,Bangladeshi,Other,Telugu,7,726,0,0,0.68,10801,13767,1,1,19.8,1,0.842
53,Female,Latino,Married,Postgraduate,10000,Engineer,Urban,Indian,Sikh,Telugu,6,694,0,0,0.77,6621,7405,0,0,10.6,1,0.638
33,Female,Asian,Widowed,Primary,100000,Laborer,Urban,Bangladeshi,Hindu,Tamil,6,549,0,2,0.81,22883,6591,0,0,18.3,0,0.443
39,Other,White,Married,Primary,20000,Farmer,Rural,Bangladeshi,Sikh,Hindi,2,317,1,1,0.78,6470,4904,1,0,8.4,1,0.601
34,Male,White,Divorced,None,30000,Laborer,Urban,Indian,Sikh,Marathi,4,702,1,5,0.93,6793,15861,0,0,5.5,0,0.5
23,Male,White,Widowed,Graduate,10000,Teacher,Urban,Indian,Other,Marathi,1,762,0,0,0.19,8342,10040,1,1,15.4,0,0.891
60,Male,Latino,Married,Primary,30000,Self-employed,Semi-urban,Indian,Buddhist,Bengali,6,301,0,3,0.07,11610,18778,0,1,2.0,1,0.195
48,Male,White,Divorced,None,100000,Self-employed,Semi-urban,Nepali,Hindu,Tamil,5,355,0,0,0.5,18697,17331,1,1,6.0,1,0.454
20,Male,Black,Married,Primary,50000,Farmer,Urban,Nepali,Christian,English,8,622,1,4,0.08,12720,14162,1,1,4.4,0,0.626
58,Other,Latino,Married,Secondary,100000,Laborer,Semi-urban,Bangladeshi,Muslim,Marathi,8,396,1,0,0.64,6101,14812,1,1,23.4,0,0.584
22,Female,Latino,Divorced,Graduate,20000,Farmer,Semi-urban,Bangladeshi,Hindu,Marathi,1,733,0,1,0.71,21091,13100,1,1,19.8,0,0.857
55,Male,White,Divorced,Primary,50000,Engineer,Semi-urban,Bangladeshi,Buddhist,Bengali,4,461,0,1,0.83,6330,399,0,0,4.2,0,0.507
41,Female,White,Divorced,Postgraduate,100000,Farmer,Urban,Indian,Muslim,Marathi,4,543,1,3,0.6,6413,17144,0,0,22.8,1,0.41
39,Male,Asian,Widowed,None,30000,Farmer,Urban,Nepali,Hindu,Tamil,7,755,0,3,0.89,19172,6085,1,1,4.8,1,0.917
64,Other,Latino,Divorced,None,50000,Self-employed,Semi-urban,Indian,Hindu,Tamil,1,457,0,5,0.18,7770,11715,1,1,13.3,0,0.526
25,Female,Latino,Divorced,Graduate,70000,Engineer,Rural,Bangladeshi,Sikh,Marathi,1,420,1,3,0.33,15152,9069,1,0,7.1,1,0.311
37,Female,Asian,Single,Postgraduate,50000,Farmer,Urban,Bangladeshi,Sikh,English,8,717,1,4,0.64,19520,2479,0,1,10.6,0,0.694
37,Male,Latino,Married,Postgraduate,30000,Laborer,Semi-urban,Bangladeshi,Muslim,Tamil,5,528,1,5,0.9,19183,8242,1,1,16.5,0,0.621
59,Female,White,Married,Postgraduate,20000,Laborer,Semi-urban,Nepali,Sikh,Marathi,6,336,0,2,0.8,3484,7489,1,0,16.4,0,0.553
41,Other,Mixed,Single,None,20000,Self-employed,Rural,Indian,Buddhist,Marathi,2,768,1,3,0.63,16268,17028,1,1,17.6,1,0.85
27,Other,Black,Divorced,None,50000,Farmer,Urban,Indian,Sikh,English,8,390,0,4,0.17,7981,9866,1,1,18.2,0,0.539
58,Male,Asian,Married,Primary,10000,Engineer,Semi-urban,Indian,Muslim,Hindi,7,527,1,3,0.28,11230,1862,1,0,3.7,1,0.629
19,Female,White,Single,Primary,10000,Engineer,Urban,Nepali,Christian,Marathi,2,708,0,2,0.7,8273,18749,0,1,12.4,1,0.638
62,Male,Mixed,Widowed,Graduate,70000,Teacher,Urban,Nepali,Christian,English,5,741,1,1,0.89,16442,12680,0,0,2.2,1,0.652
58,Other,Black,Married,Postgraduate,30000,Teacher,Semi-urban,Indian,Muslim,English,6,305,1,0,0.07,11517,8669,1,0,18.7,0,0.247
26,Male,Asian,Widowed,Postgraduate,20000,Farmer,Semi-urban,Indian,Buddhist,Hindi,5,531,0,0,0.71,23262,16381,0,0,10.7,0,0.281
65,Male,Latino,Married,Primary,50000,Farmer,Urban,Nepali,Buddhist,Bengali,1,833,1,1,0.28,12278,9591,1,1,8.6,1,0.907
46,Male,Asian,Widowed,Primary,20000,Teacher,Rural,Bangladeshi,Muslim,Bengali,2,436,0,5,0.51,4804,2211,1,0,19.9,1,0.498
21,Other,Latino,Married,None,70000,Self-employed,Semi-urban,Bangladeshi,Sikh,Bengali,8,619,0,1,0.61,3181,14457,0,1,1.8,1,0.664
34,Other,Black,Divorced,Secondary,100000,Farmer,Rural,Nepali,Muslim,Hindi,2,656,0,5,0.63,22937,3525,1,1,3.9,1,0.78
27,Other,Mixed,Single,Secondary,70000,Engineer,Urban,Bangladeshi,Christian,Hindi,1,822,1,1,0.14,14452,5477,0,0,20.7,0,0.608
38,Female,Latino,Single,None,100000,Farmer,Urban,Indian,Other,English,2,793,1,0,0.62,10448,443,0,1,16.8,0,0.935
55,Other,White,Widowed,Postgraduate,100000,Engineer,Rural,Nepali,Other,English,1,412,0,3,0.14,14305,19333,1,1,11.6,0,0.376
32,Male,Latino,Single,None,70000,Engineer,Semi-urban,Indian,Hindu,Tamil,8,695,0,3,0.61,9328,6693,1,1,24.0,1,0.902
46,Male,Mixed,Single,Primary,20000,Engineer,Semi-urban,Bangladeshi,Muslim,English,7,522,1,5,0.26,19000,12321,0,0,12.0,0,0.199
27,Male,Black,Widowed,Graduate,30000,Engineer,Semi-urban,Bangladeshi,Hindu,English,1,807,1,4,0.12,20375,11904,1,0,14.6,1,0.67
60,Female,Asian,Single,Secondary,50000,Self-employed,Rural,Indian,Sikh,Bengali,6,504,0,0,0.4,16525,9653,0,1,15.0,1,0.449
65,Female,White,Divorced,Secondary,50000,Self-employed,Urban,Bangladeshi,Other,Marathi,4,472,1,3,0.85,19560,11730,0,0,9.3,1,0.357
58,Male,White,Single,Postgraduate,10000,Engineer,Semi-urban,Indian,Christian,Bengali,6,674,1,2,0.94,19923,9987,1,0,18.1,1,0.65
32,Female,Black,Married,None,100000,Engineer,Urban,Nepali,Buddhist,Hindi,4,786,1,0,0.49,16971,7182,0,0,24.7,0,0.675
63,Male,Asian,Divorced,None,100000,Teacher,Urban,Indian,Muslim,Marathi,7,595,1,5,0.84,18416,10401,1,1,21.2,0,0.693
45,Other,Black,Single,Postgraduate,10000,Teacher,Semi-urban,Indian,Other,Marathi,5,577,1,3,0.86,16174,19506,0,0,1.6,0,0.398
41,Male,Asian,Widowed,Postgraduate,20000,Teacher,Semi-urban,Indian,Hindu,Tamil,2,448,0,1,0.67,6786,18144,1,1,3.7,1,0.561
26,Other,Latino,Married,Postgraduate,100000,Laborer,Urban,Bangladeshi,Christian,Telugu,5,543,0,5,0.15,22506,17169,1,1,2.3,0,0.464
38,Female,Latino,Married,Primary,10000,Laborer,Urban,Indian,Muslim,Bengali,3,676,0,2,0.87,9621,18616,0,0,20.7,0,0.545
48,Other,White,Widowed,None,50000,Engineer,Urban,Nepali,Muslim,Tamil,4,821,1,3,0.8,10532,16888,0,0,4.7,0,0.573
55,Other,Black,Divorced,Postgraduate,50000,Laborer,Rural,Bangladeshi,Christian,Telugu,6,522,0,0,0.4,14001,15125,0,1,7.7,0,0.402
41,Male,Black,Married,Graduate,50000,Teacher,Semi-urban,Bangladeshi,Hindu,English,6,650,1,2,0.63,12670,532,0,0,9.5,1,0.489
63,Male,White,Widowed,Postgraduate,50000,Self-employed,Semi-urban,Bangladeshi,Muslim,Telugu,1,397,1,4,0.37,4704,9649,0,0,7.5,0,0.211
29,Female,Latino,Widowed,None,30000,Farmer,Urban,Indian,Sikh,Hindi,2,432,0,3,0.22,3113,2196,0,0,12.4,1,0.334
59,Female,White,Widowed,None,50000,Farmer,Rural,Bangladeshi,Christian,Telugu,2,438,0,1,0.1,24621,16021,0,0,17.4,0,0.015
18,Female,Latino,Single,Primary,50000,Teacher,Rural,Bangladeshi,Christian,Telugu,2,840,0,0,0.61,14377,17104,0,0,7.5,0,0.559
54,Female,Asian,Divorced,None,70000,Teacher,Urban,Bangladeshi,Muslim,Telugu,6,361,1,3,0.11,7525,7399,1,0,18.8,1,0.374
63,Female,Black,Married,None,20000,Teacher,Urban,Indian,Buddhist,Bengali,4,383,1,0,0.64,11476,3388,0,0,23.9,1,0.362
57,Male,Asian,Single,Graduate,30000,Farmer,Semi-urban,Indian,Hindu,Tamil,1,387,0,0,0.38,23586,15824,0,1,1.4,1,0.258
19,Male,Mixed,Married,Postgraduate,100000,Engineer,Urban,Nepali,Sikh,Marathi,4,631,0,2,0.33,4065,19001,1,0,10.8,1,0.613
28,Male,Latino,Married,None,30000,Engineer,Rural,Bangladeshi,Buddhist,Hindi,7,622,1,5,0.16,23832,7080,0,0,22.5,1,0.366
19,Other,Black,Widowed,Primary,10000,Engineer,Rural,Bangladeshi,Hindu,Tamil,6,578,1,0,0.94,22858,12087,0,0,1.9,1,0.325
61,Female,Black,Widowed,Secondary,10000,Self-employed,Rural,Indian,Buddhist,Hindi,2,622,0,0,0.01,11272,10045,0,1,14.9,0,0.66
24,Male,Asian,Widowed,Graduate,20000,Farmer,Semi-urban,Indian,Hindu,Tamil,7,655,1,2,0.58,8224,15724,1,0,4.8,1,0.595
61,Male,Mixed,Single,Secondary,70000,Teacher,Rural,Nepali,Buddhist,Bengali,3,446,1,2,0.99,10111,10349,1,1,14.5,1,0.742
59,Other,Asian,Divorced,Primary,10000,Farmer,Semi-urban,Nepali,Christian,Marathi,8,425,0,4,0.7,5557,6087,0,1,10.5,0,0.59
58,Other,White,Divorced,Primary,70000,Self-employed,Semi-urban,Bangladeshi,Buddhist,Marathi,5,783,1,2,0.12,23033,10844,1,1,9.6,1,0.764
33,Male,Black,Divorced,None,10000,Teacher,Semi-urban,Bangladeshi,Muslim,Telugu,1,590,1,4,0.56,11090,4074,0,0,2.8,1,0.539
33,Female,White,Married,Postgraduate,30000,Laborer,Semi-urban,Nepali,Christian,Hindi,1,666,0,3,0.02,15793,7029,0,1,20.0,1,0.507
27,Other,Black,Widowed,Secondary,70000,Self-employed,Rural,Bangladeshi,Sikh,Tamil,8,359,0,1,0.38,16228,10041,0,0,23.9,1,0.325
33,Male,Mixed,Single,Primary,70000,Laborer,Rural,Indian,Christian,English,6,642,0,1,0.57,22142,492,1,1,14.5,1,0.816
